['', '/', 0, 'dir']
['/', 'mzsnhlf', '189381', 'file']
['/', 'zfn', '93174', 'file']
['/', 'gqlg', 0, 'dir']
['/gqlg/', 'cfrdsjf', '187654', 'file']
['/gqlg/', 'ntvmgbw', '100589', 'file']
['/gqlg/', 'zcmfcjhf.tzw', '46922', 'file']
['/', 'hchrwstr', 0, 'dir']
['/hchrwstr/', 'cljjlcp.pjh', '227766', 'file']
['/hchrwstr/', 'rdbrcf.pjl', '102770', 'file']
['/hchrwstr/', 'rfnjn.lqn', '9887', 'file']
['/hchrwstr/', 'rzsrp', 0, 'dir']
['/hchrwstr/rzsrp/', 'rzsrp', 0, 'dir']
['/hchrwstr/rzsrp/rzsrp/', 'tnflwcsn', '208001', 'file']
['/hchrwstr/rzsrp/rzsrp/', 'dvzvmsjz', 0, 'dir']
['/hchrwstr/rzsrp/rzsrp/dvzvmsjz/', 'hvgbhm.zsc', '149823', 'file']
['/hchrwstr/rzsrp/rzsrp/', 'zfn', 0, 'dir']
['/hchrwstr/rzsrp/rzsrp/zfn/', 'gqlg.tzc', '292424', 'file']
['/hchrwstr/', 'shlhgj', 0, 'dir']
['/hchrwstr/shlhgj/', 'fzpzwjdt.jvl', '61753', 'file']
['/hchrwstr/shlhgj/', 'jjhc.tzr', '195204', 'file']
['/hchrwstr/shlhgj/', 'zcmfcjhf.tzw', '288094', 'file']
['/hchrwstr/', 'slwwgc', 0, 'dir']
['/hchrwstr/slwwgc/', 'jjhc.tzr', '118185', 'file']
['/hchrwstr/slwwgc/', 'jwnw.wqv', '291916', 'file']
['/hchrwstr/slwwgc/', 'ptlz', '116377', 'file']
['/hchrwstr/slwwgc/', 'pzjpw.hwg', '300849', 'file']
['/hchrwstr/slwwgc/', 'zfn.grz', '28679', 'file']
['/', 'lswlpt', 0, 'dir']
['/lswlpt/', 'dbnlt.rqz', '124160', 'file']
['/lswlpt/', 'sfd', '154412', 'file']
['/', 'plmdrbn', 0, 'dir']
['/plmdrbn/', 'rlc.qns', '224144', 'file']
['/plmdrbn/', 'zcmfcjhf.tzw', '2985', 'file']
['/plmdrbn/', 'fmzjhrq', 0, 'dir']
['/plmdrbn/fmzjhrq/', 'lqj.szc', '9749', 'file']
['/plmdrbn/fmzjhrq/', 'rrjjsvm', 0, 'dir']
['/plmdrbn/fmzjhrq/rrjjsvm/', 'zcmfcjhf.tzw', '66652', 'file']
['/', 'rjwmjd', 0, 'dir']
['/rjwmjd/', 'zpfws.ctc', '125294', 'file']
['/rjwmjd/', 'twcrf', 0, 'dir']
['/rjwmjd/twcrf/', 'tnflwcsn', '229364', 'file']
['/rjwmjd/twcrf/', 'zcmfcjhf.tzw', '262716', 'file']
['/rjwmjd/', 'zwmmrqj', 0, 'dir']
['/rjwmjd/zwmmrqj/', 'gqlg.ftg', '11466', 'file']
['/rjwmjd/zwmmrqj/', 'lflcgss.jrm', '220272', 'file']
['/rjwmjd/zwmmrqj/', 'tnflwcsn', '79574', 'file']
['/', 'stqq', 0, 'dir']
['/stqq/', 'cwjqldbf.cnm', '185160', 'file']
['/stqq/', 'dpg.pwn', '266439', 'file']
['/stqq/', 'jvps', '139357', 'file']
['/stqq/', 'mctn.dqw', '250148', 'file']
['/stqq/', 'tnflwcsn', '22196', 'file']
['/stqq/', 'hpgbcvtb', 0, 'dir']
['/stqq/hpgbcvtb/', 'fvjjtd.wdb', '231579', 'file']
['/stqq/hpgbcvtb/', 'gjdtscqs', '168118', 'file']
['/stqq/hpgbcvtb/', 'ldbqbg', '113434', 'file']
['/stqq/hpgbcvtb/', 'nnnr', '182214', 'file']
['/stqq/hpgbcvtb/', 'pqqdt.wnn', '112389', 'file']
['/stqq/hpgbcvtb/', 'mqjfvg', 0, 'dir']
['/stqq/hpgbcvtb/mqjfvg/', 'gqlg.jjc', '170328', 'file']
['/stqq/', 'llbthqc', 0, 'dir']
['/stqq/llbthqc/', 'bftwd.qrr', '25611', 'file']
['/stqq/llbthqc/', 'tnflwcsn', '91550', 'file']
['/stqq/', 'rzsrp', 0, 'dir']
['/stqq/rzsrp/', 'wrsfh.pzd', '272315', 'file']
['/stqq/rzsrp/', 'zcmfcjhf.tzw', '123877', 'file']
['/stqq/', 'whmdbn', 0, 'dir']
['/stqq/whmdbn/', 'jjhc.tzr', '29628', 'file']
['/stqq/whmdbn/', 'mrhb', '65193', 'file']
['/', 'zjhqnlrr', 0, 'dir']
['/zjhqnlrr/', 'fqz.dch', '180806', 'file']
['/zjhqnlrr/', 'rptmqt', '109161', 'file']
['/zjhqnlrr/', 'rzsrp.sjf', '6463', 'file']
['/zjhqnlrr/', 'rzsrp.wwz', '111549', 'file']
['/zjhqnlrr/', 'zfn', '241532', 'file']
['/zjhqnlrr/', 'bzzvj', 0, 'dir']
['/zjhqnlrr/bzzvj/', 'gqlg.nsn', '278759', 'file']
['/zjhqnlrr/bzzvj/', 'mvggzqrq', '174223', 'file']
['/zjhqnlrr/bzzvj/', 'tnflwcsn', '156518', 'file']
['/zjhqnlrr/bzzvj/', 'wjtlg', 0, 'dir']
['/zjhqnlrr/bzzvj/wjtlg/', 'fvqbtm.tch', '52198', 'file']
['/zjhqnlrr/bzzvj/wjtlg/', 'tnflwcsn', '44881', 'file']
['/zjhqnlrr/bzzvj/', 'zfn', 0, 'dir']
['/zjhqnlrr/bzzvj/zfn/', 'tnflwcsn', '22926', 'file']
['/zjhqnlrr/', 'ddzmvh', 0, 'dir']
['/zjhqnlrr/ddzmvh/', 'gqlg.bjq', '180764', 'file']
['/zjhqnlrr/ddzmvh/', 'hgrnmh.tpr', '186254', 'file']
['/zjhqnlrr/ddzmvh/', 'rzsrp', '256578', 'file']
['/zjhqnlrr/ddzmvh/', 'shlhgj', '269955', 'file']
['/zjhqnlrr/ddzmvh/', 'vrr.nnm', '172163', 'file']
['/zjhqnlrr/ddzmvh/', 'cpvfln', 0, 'dir']
['/zjhqnlrr/ddzmvh/cpvfln/', 'hgrnmh.lvr', '87025', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/', 'rwmq.dph', '187453', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/', 'sthhc', 0, 'dir']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'fdzwmfnf', '289580', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'hgrnmh.vqj', '57504', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'mzcfchr.mch', '277639', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'zqglfrl', '94836', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'slsj', 0, 'dir']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/slsj/', 'hdjgtqt', '178013', 'file']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/', 'vsvvprg', 0, 'dir']
['/zjhqnlrr/ddzmvh/cpvfln/sthhc/vsvvprg/', 'fvqbtm.tch', '102783', 'file']
['/zjhqnlrr/ddzmvh/', 'hgrnmh', 0, 'dir']
['/zjhqnlrr/ddzmvh/hgrnmh/', 'rzsrp.nfg', '240216', 'file']
['/zjhqnlrr/ddzmvh/hgrnmh/', 'mrnmbbt', 0, 'dir']
['/zjhqnlrr/ddzmvh/hgrnmh/mrnmbbt/', 'gqlg', '245579', 'file']
['/zjhqnlrr/ddzmvh/', 'hjpgf', 0, 'dir']
['/zjhqnlrr/ddzmvh/hjpgf/', 'cjfd.wdq', '257544', 'file']
['/zjhqnlrr/ddzmvh/hjpgf/', 'jjhc.tzr', '296077', 'file']
['/zjhqnlrr/ddzmvh/hjpgf/', 'zcmfcjhf.tzw', '195752', 'file']
['/zjhqnlrr/ddzmvh/', 'mghmb', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/', 'pgf.rgj', '206272', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'tnflwcsn', '130746', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'zfn.dhl', '256698', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'bgrcsdc', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/bgrcsdc/', 'lflcgss.jrm', '235762', 'file']
['/zjhqnlrr/ddzmvh/mghmb/', 'btjq', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'bvrcqb', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/', 'gjjg.msw', '51508', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/', 'pdwn', '13206', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/', 'vbw', '10427', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/', 'zfn.ztq', '6909', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/gqlg/', 'cmgcvlh.mzs', '20816', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/gqlg/', 'fvqbtm.tch', '10358', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/gqlg/', 'rzsrp.dns', '215142', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/bvrcqb/gqlg/', 'wdjdppzm', '192153', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'drslln', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/drslln/', 'tnflwcsn', '258102', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'dwzpblb', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/dwzpblb/', 'fvqbtm.tch', '302466', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/', 'gqlg', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/', 'hnr', 0, 'dir']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'fvqbtm.tch', '159298', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'gchdll.nrm', '46324', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'lflcgss.jrm', '287907', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'twdff', '140272', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'zfn', '47399', 'file']
['/zjhqnlrr/ddzmvh/mghmb/btjq/gqlg/hnr/', 'fjd', 0, 'dir']
